# 2021/11/14 - 18:40 | PDB: 45.21 | UniProt: 2021.04
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
1th7	A	Q97ZQ0	8032530	8020150
2vv5	A	P0C0S1	8037796	8025417
1h64	A	Q9V0Y8	8042422	8030043
5zwm	R	Q06217	8063490	8063489
4m7a	F	P53905	8063498	8063497
1y96	B	Q9H840	8092460	8045928
5vsu	F	Q06406	8099110	8099109
1nf9	A	P0DPB9	8033272	8020892
1yzv	A	Q4D3U8	8060926	8060925
3hb7	A	A6TWT6	8065864	8065863
3o93	A	A0A0H2UR34	8065870	8065869
5zn8	A	A0A223CGG0	8065872	8065871
3tb4	A	P0C6D3	8065892	8065891
1hfe	S	P07603	8039092	8026713
2c42	A	P94692	8039278	8026899
1j1d	C	P19429	8032252	8019872
6klu	B	P50752	8094321	8094320
1owg	B	P0A6Y1	8034410	8022030
1mul	A	P0ACF0	8036540	8024161
6n2l	A	B1YQ53	8072006	8072005
5eka	A	P19436	8072008	8072007
2l93	A	P0A1S2	8075912	8075911
1i0d	A	P0A434	8033495	8021115
2p9b	A	Q8G4D5	8035487	8023107
1p6b	A	P0A433	8038271	8025892
2f6k	A	F9US96	8040583	8028204
2ftw	A	Q55DL0	8041315	8028936
1m7j	A	Q9AGH8	8043336	8030957
6n91	A	Q9KNI7	8071772	8071771
4xd5	A	A0A060GSW5	8074530	8074529
1lui	A	Q03526	8043113	8030734
2oq1	A	P43403	8043589	8031211
2oq1	A	P43403	8043591	8031213
2eob	A	P24135	8064762	8064761
4k45	A	P10686	8066291	8066290
2dlz	A	P52735	8067972	8067971
7r8w	A	O09039	8105407	8105406
3p3v	A	Q9A0T4	8079276	8079275
1td6	A	P75455	8042456	8030077
1pex	A	P45452	8042813	8030434
4il6	O	D0VWR2	8097550	8097549
5xy3	N	A2ECR7	8082475	8082474
3jag	N	G1T0C1	8082477	8082476
4v7r	BO	P05748	8082481	8082480
5oql	y	P0CU28	8098446	8098445
6th6	BP	Q5JH43	8099646	8099645
6q53	E	W8L932	8095609	8095608
7ddq	D	A0A2T4JIL7	8103819	8103818
1rh7	A	Q99P86	8038871	8026492
2mhr	A	P02247	8018750	8018749
3mal	A	Q93ZE8	8066419	8066418
1hup	A	P11226	8039380	8027001
1htn	A	P05452	8039384	8027005
1yel	A	Q9FX77	8034320	8021940
6j9b	D	Q9LW31	8095733	8095732
1re5	A	Q88N37	8038843	8026464
1t6j	A	P11544	8042400	8030021
2e9f	C	Q5SLL0	8071994	8071993
4nsl	A	Q8ZPZ6	8092852	8050749
3a0b	M	P12312	8087180	8087179
1w7z	A	P12071	8039279	8026900
1yxy	A	P65522	8035019	8022639
1vc4	A	P84126	8035685	8023305
2czd	A	O58462	8039418	8027039
1ujp	A	P16608	8041838	8029459
1h1y	A	Q9SE42	8042359	8029980
3exr	A	Q93DA8	8063390	8063389
2ekc	A	O67502	8070023	8070022
3q58	A	P60668	8082903	8082902
5umf	A	B4RLV9	8083105	8083104
3ct7	A	P32719	8083109	8083108
4xag	A	A0A060GPQ0	8074538	8074537
4pbe	A	A0A060GPP4	8074546	8074545
4g2d	A	C4KKZ9	8074554	8074553
4qrn	A	Q2GA79	8099290	8099289
1rqg	A	Q9V011	8038901	8026522
1j72	A	P40121	8032271	8019891
1t3y	A	Q14019	8032453	8020073
1d0n	A	Q28372	8036067	8023687
2mv2	A	P45594	8078893	8078892
1ytm	A	O09460	8056002	8056000
2ihu	A	Q9LCV9	8034529	8022149
2ihu	A	Q9LCV9	8034530	8022150
1ik6	A	1IK6_A	8036630	8024251
2r8o	A	P27302	8036680	8024301
2g25	A	P0AFG8	8041598	8029219
1q6z	A	P20906	8042170	8029791
2ozl	B	P11177	8043740	8031362
1zpd	A	P06672	8044268	8031890
2zjr	H	Q9RXJ2	8038558	8026179
1whi	A	P04450	8041752	8029373
2kco	A	Q980W3	8053080	8048711
3jam	I	Q6CMG3	8053086	8048704
4v61	BM	P09596	8072036	8072035
5xy3	V	A2DP51	8072058	8072057
4v8p	BJ	P0DJ53	8072066	8072065
3j7p	V	P62831	8098864	8098863
6ywv	I	Q7SBJ8	8101689	8101688
7m4x	J	A0A062FDM9	8103014	8103013
7nhn	N	Q927L7	8103212	8103211
2fxm	A	P12883	8041463	8029084
1r4p	B	P09386	8040290	8027911
2xsc	A	P69179	8041832	8029453
3qwn	H	A5ZK25	8052332	8047775
4pqx	A	A5ZGW9	8052341	8047777
2bas	A	O35014	8037827	8025448
3t4s	A	Q9C5U0	8057003	8045159
1ni7	A	P0AGF2	8033337	8020957
1mzg	A	P76194	8043916	8031538
4xhf	B	Q8EID8	8053869	8045548
3lvl	A	P0ACD6	8064482	8064481
2kqk	A	P0ACD4	8064484	8064483
3r5d	F	G3XD76	8050589	8050592
5dep	A	A6V1E4	8063346	8063345
6bma	A	Q9PI11	8100602	8100601
6vva	A	Q2G157	8102715	8102714
4d4t	A	P0DOE7	8092058	8088087
1ut7	B	Q9C932	8042010	8029631
3mde	A	P41367	8036927	8024548
2c12	A	Q8X1D8	8039055	8026676
1siq	A	Q92947	8039480	8027101
1is2	A	P07872	8039695	8027316
1st0	A	Q96C86	8041667	8029288
3p0t	A	Q743J2	8059792	8059791
4xba	A	O74859	8089896	8089895
1osm	A	Q48473	8037887	8025508
1by5	A	P06971	8037920	8025541
6rck	B	D6QLY1	8093808	8093807
4d5b	B	Q48391	8095914	8046371
1v6c	A	Q65Z69	8042998	8030619
1wsd	A	Q99405	8043693	8031315
3f7o	A	Q01471	8071858	8071857
7v7y	A	A0A7H0M7J5	8096826	8096825
5xnl	k	D5MAJ8	8097598	8097597
4yuu	K2	Q9TLR0	8100658	8100657
1c8k	A	P00489	8033137	8020757
1ygp	A	P06738	8033180	8020800
1v4v	A	P83824	8035416	8023036
1rrv	A	Q9AFC7	8038932	8026553
5dld	A	A4JLG9	8079421	8079420
5dxf	B	Q5AI14	8099570	8099569
6inh	A	Q6VAB4	8099844	8099843
4l22	A	Q8DT31	8100122	8100121
7c2x	A	A0A5A4WN00	8103078	8103077
5fa1	A	Q6U8B0	8104089	8046894
1n1u	A	P56254	8043986	8031608
2jwm	A	P58457	8082215	8082214
2b38	A	P85175	8101585	8101584
1ei7	A	P69687	8036917	8024538
2auw	A	Q82X29	8037372	8024993
6kad	I	P59763	8094000	8093999
2b1x	A	Q9X3R9	8037532	8025153
2bmo	A	Q8RTL4	8038343	8025964
2de6	A	Q84II6	8039674	8027295
1tg7	A	Q700S9	8042468	8030089
5b5e	F	P12239	8098484	8098483
1kbl	A	P22983	8037995	8025616
3etj	A	P09029	8041115	8028736
1ulz	A	O67483	8041889	8029510
1w96	C	Q00955	8043361	8030982
1f9n	A	P17893	8058559	8091642
1rav	A	P02701	8042736	8030357
2fhl	A	P56734	8070804	8070803
4bj8	A	E7F650	8070810	8070809
6hds	A	A0A493R6W9	8096822	8096821
1qve	A	P17838	8038536	8026157
2gr8	A	Q48152	8042007	8029628
5v0m	A	A0A1B1ZB31	8092796	8061108
1jr3	A	P06710	8104152	8022168
1e32	A	Q01853	8104156	8020132
1sxj	B	P40339	8104167	8027383
1nqz	A	Q9RV46	8033546	8021166
1vhz	B	P45799	8035847	8023467
1mqe	A	O33199	8036481	8024102
1rrs	A	P83847	8040880	8028501
2rrk	A	P77788	8058798	8058797
1zq1	C	Q9V0U0	8036135	8023755
1u6f	A	Q967R0	8032840	8020460
1x5o	A	P29558	8033615	8021235
1b7f	A	P19339	8035334	8022954
2cq1	A	Q9UKA9	8039194	8026815
2cq3	A	O43251	8039198	8026819
2dit	A	O43719	8039788	8027409
1whv	A	Q8VDG3	8043557	8031179
1fnx	H	Q60900	8044432	8032054
3tp2	A	Q12046	8051796	8051795
4krf	A	Q9UL18	8053606	8045664
5g5s	A	Q58717	8053653	8053648
4z4d	A	Q9UKV8	8053657	8045665
4m5d	B	P25368	8053724	8053723
3bs9	A	P31483	8061941	8061940
2dgu	A	O60506	8061951	8061950
4a8x	A	Q15287	8061965	8061964
5z58	Y	Q9Y388	8061967	8061966
4pkd	B	Q06AA4	8061981	8061980
2e5h	A	Q8TBF4	8064927	8064926
2khc	A	O18409	8064939	8064938
6g6s	A	Q9UKV3	8064961	8064960
3ns6	A	P06103	8067322	8067321
2krb	A	P55884	8073934	8073933
1vbk	A	O59053	8033124	8020744
1wxi	A	P18843	8033361	8020981
3cls	D	P53571	8040144	8027765
1vl2	A	Q9X2A1	8041423	8029044
1efp	A	P38974	8044217	8031839
1efp	B	P38975	8044218	8031840
6fah	B	H6LGM7	8080636	8080635
5ol2	B	A0A125V3V6	8080638	8080637
3tnj	A	Q82VN8	8081248	8081247
4eza	A	Q13576	8054339	8018868
1mki	A	O31465	8032866	8020486
2c5w	B	Q8DR59	8039428	8027049
1m40	A	P62593	8041576	8029197
2hds	A	P00811	8042253	8029874
1xp4	A	Q8DQ99	8044099	8031721
5e43	A	D2ARB3	8069775	8069774
5ll7	A	A0A0H4IUK8	8069785	8069784
4ua6	B	H6UQI0	8069809	8069808
4eqi	A	Q6JP75	8069819	8069818
3tsg	A	D3X610	8069859	8069858
5hx9	A	A4JP73	8069877	8069876
4d2o	A	A2RP81	8069881	8069880
5e2h	A	A0QZC8	8069921	8069920
4qd4	A	R4NH29	8069929	8069928
4k0w	A	B6E129	8074313	8074312
6wip	A	D9TA79	8095231	8095230
6kby	A	Q9XB24	8095815	8095814
6pqc	A	A0A160YKM3	8096388	8096387
5ggw	A	B7SNP8	8097324	8097323
6z7i	A	W1DN50	8104377	8104376
3rbn	A	P40692	8053828	8045537
4e4w	A	P38920	8053829	8045538
2ge7	A	P32923	8041817	8029438
1w0p	A	P0C6E9	8041558	8029179
1so7	A	Q9Y3R4	8042349	8029970
2w20	A	P62576	8052060	8049717
4xjw	A	Q54727	8052061	8049716
4yw4	A	A0A182DW00	8052067	8049719
1ncd	N	P05803	8071652	8071651
4b7q	A	C7FH46	8071672	8071671
1b9s	A	P03474	8079451	8079450
4uf7	B	I0E093	8086576	8086575
5nop	A	W8TIR7	8086582	8086581
2db1	A	Q9Z2X1	8082153	8082152
3r27	A	P14866	8087286	8087285
4lir	B	Q8NFH5	8087390	8087389
4pkd	B	P08621	8088186	8088185
2xsf	A	Q64368	8090279	8087338
2b9e	A	Q96P11	8090695	8025385
3jb9	k	Q7LL14	8099988	8099987
1gut	A	P08854	8036248	8023868
1v43	A	O57758	8057784	8018345
1jy2	N	P02672	8037450	8025071
1jy2	O	P02676	8037454	8025075
1off	A	P27320	8034049	8021669
4fxc	A	P00246	8034511	8022131
1jq4	A	P22868	8037245	8024866
3c8y	A	P29166	8039789	8027410
1vlb	A	Q46509	8041442	8029063
1wri	A	P00237	8043684	8031306
2y5c	A	Q6P4F2	8068761	8068760
4ltu	A	Q2IU01	8068767	8068766
1y56	A	O59088	8091756	8091755
1vmf	A	Q9K772	8043085	8030706
2p6c	A	O67812	8088250	8088249
1lto	A	Q15661	8032586	8020206
1nn6	A	P23946	8033466	8021086
1iau	A	P10144	8033818	8021438
1op0	A	Q9I8X1	8037994	8025615
1hag	E	P00734	8042154	8029775
2h5c	A	P00778	8042155	8029776
3rp2	A	P00770	8042229	8029850
1ep5	A	P05674	8044424	8032046
4y01	A	B2RID1	8053710	8044906
5hm2	A	X5CZS0	8071553	8071552
6mx4	C	P27284	8071563	8071562
4zro	A	Q98VG9	8076465	8076464
2q6f	A	P0C6V5	8076487	8076486
4ink	A	Q2FXC5	8099278	8099277
6lxk	B	A0A5P1N996	8102228	8102227
1qey	A	P03049	8039569	8027190
1gd2	E	Q01663	8039475	8027096
1a02	F	P01100	8039477	8027098
2a93	B	P28574	8039485	8027106
1ci6	B	P28033	8039494	8027115
3bjh	A	Q8WRW5	8040353	8027974
1ezf	A	P37268	8038853	8026474
3m0g	A	Q9KWR7	8059005	8059004
6sxl	A	B1XJV9	8097230	8097229
3ku3	B	C7S226	8073489	8073488
4w8n	D	A9YN66	8087906	8087905
4jul	D	Q00G25	8087908	8087907
6cf5	B	A8UDR1	8087912	8087911
5jw4	B	Q6DQ18	8087930	8087929
5e32	B	C4P282	8087950	8087949
3lzg	D	C3W5S1	8087956	8087955
5ujz	B	A7UPX0	8087960	8087959
4hfu	B	P03451	8087970	8087969
3s12	B	Q80A30	8087994	8087993
4dj6	B	Q6VMK1	8088008	8088007
4wsx	B	A0A0J9X253	8088010	8088009
4lcx	B	V5IRU7	8088014	8088013
6fyu	B	A0A097PHH8	8088024	8088023
4kon	B	V5IRU3	8088030	8088029
4r8w	B	A0A024E2M1	8088032	8088031
6n4f	B	A0A2U5FPI7	8088040	8088039
6bkn	B	B4UPH9	8088064	8088063
4nrj	B	P03460	8088074	8088073
5br0	B	A0A0M3KL65	8096286	8096285
6vmz	B	Q1KHK7	8099218	8099217
1syq	A	P18206	8039803	8027424
1zzp	A	P00519	8055813	8051386
2ho2	A	O00213	8034231	8021851
1tk7	A	Q9Y0H4	8040266	8027887
1eg3	A	P11532	8042910	8030531
2mdc	A	Q9BYW2	8061459	8061458
2yse	A	Q96QZ7	8061461	8061460
2ysg	A	Q6ZWJ1	8081417	8081416
2ysb	A	Q8VEB2	8081427	8081426
1bwv	S	O98950	8035846	8023466
6lrr	X	P06514	8094084	8094083
1ju8	A	Q39837	8032305	8019925
1ag7	A	P15472	8038122	8025743
1cnn	A	P37300	8038123	8025744
1f3k	A	P56714	8038128	8025749
1kcp	A	P56633	8038134	8025755
1dl0	A	P82228	8038143	8025764
1vr3	A	Q99JT9	8032687	8020307
2o1q	A	2O1Q_A	8034971	8022591
1ywk	A	Q838L9	8034991	8022611
1vj2	A	Q9X1H0	8035932	8023552
1j1l	A	O00625	8036034	8023654
2pyt	A	Q9ZFV5	8036157	8023777
1j58	A	O34714	8039833	8027454
1uij	A	P25974	8040870	8028491
2phl	A	P02853	8043026	8030647
3ryk	A	A0A6L7H6N0	8063626	8063625
4e2q	A	Q8GXV5	8083127	8083126
5tpv	C	Q9ALS3	8086552	8086551
5fcc	A	C3K802	8088686	8088685
5e1r	D	B3STU4	8095868	8095866
2eaa	B	A4PIA0	8095880	8095878
5wxu	A	A0A162EGL7	8095888	8060635
6xb9	J	C1DN94	8102655	8102654
3q6z	A	Q460N5	8063742	8063741
1pvm	A	Q9HLD9	8039185	8026806
2b3t	B	P0A7I0	8032779	8020399
1q2l	A	P05458	8032301	8019921
1hr6	A	P11914	8033257	8020877
1hr6	B	P10507	8033258	8020878
3cx5	B	P07257	8040300	8027921
2fge	A	Q9LJL3	8040894	8028515
2fqt	A	O34667	8041301	8028922
1pbi	A	P56679	8038368	8025989
2fj8	A	P12940	8040990	8028611
2k9k	A	Q5SDB0	8071266	8071265
1yvp	B	P42700	8034953	8022573
2cxh	A	2CXH_A	8039381	8027002
2g4c	A	Q9UHN1	8041652	8029273
1w94	A	O26776	8092345	8020614
5a53	C	P36160	8092351	8045895
1vma	A	Q9WZ40	8056547	8017971
2v3c	C	Q57565	8056551	8017986
1zu4	A	Q6MTB9	8056577	8056576
1lfp	A	O67517	8041282	8028903
3dtf	A	A0R066	8062673	8062672
4whx	A	A0A0E1U3Z8	8075708	8075707
4tm5	A	Q2T1L0	8075734	8075733
6jif	B	K9NJ94	8098022	8098021
1g5c	A	Q50565	8032579	8020199
1ddz	A	Q43060	8044467	8032089
4rxy	A	Q9HVB9	8082599	8082598
2w3q	A	Q3I4V7	8082605	8082604
3eyx	A	P53615	8082609	8082608
6y04	A	A2ENQ8	8097050	8097049
3t2d	A	B1YAL1	8061220	8061219
2b3j	A	Q99W51	8037592	8025213
1pdo	A	P69797	8044468	8032090
1eqf	A	P21675	8037195	8024816
5uvw	B	O60885	8084245	8084244
5ffv	B	P55201	8084267	8084266
3fkm	X	Q8IJ72	8084273	8084272
2yyn	A	O15164	8084277	8084276
5s9o	A	A0A140T9E9	8105357	8105356
2akz	A	P09104	8037160	8024781
1jpd	X	P51981	8037183	8024804
1sjd	A	Q44244	8039511	8027132
1bkh	B	Q51958	8043624	8031246
1wue	A	Q838J7	8043719	8031341
5y6f	A	P76010	8091577	8087055
5vx6	A	P38491	8091586	8091584
1x40	A	Q8WZ64	8033590	8021210
2h80	A	Q9Y3M8	8034172	8021792
1sxd	A	Q00422	8039756	8027377
1ucv	A	P29322	8041716	8029337
2qkq	A	P54760	8079639	8079638
5zrz	A	Q60629	8079645	8079644
5zrz	B	Q3V1H9	8079653	8079652
4pzn	A	Q8NDX5	8080798	8080797
1rn1	C	P00651	8033542	8021162
5k9a	A	Q6NF82	8099826	8099825
6r1v	A	Q2FV99	8101611	8101610
3bb6	A	P64488	8038942	8026563
4xae	A	Q9LHN8	8084556	8084555
3rzm	A	Q6NS38	8088228	8088227
3gja	B	D0VX22	8089100	8089099
3kt7	A	P40032	8089987	8045291
6kwa	A	Q9XI75	8101755	8101754
1v8c	A	P83826	8035617	8023237
4nhr	A	P0ADC1	8053477	8045850
2r76	A	Q8EHP5	8053481	8045854
4q35	B	Q83LX4	8053486	8045859
1yq9	H	P12944	8032555	8020175
5jsy	B	Q72AS3	8077217	8077216
5lnk	4	W5PJ73	8085735	8085734
6h8k	C	Q9UUU1	8085739	8085738
7a23	G	P93306	8101589	8101588
3h4z	A	P49273	8101156	8046435
6sw9	S	Q9V0G0	8095357	8095356
4f3w	A	B2HDU6	8059095	8059094
1p97	A	Q99814	8038443	8026064
1jnu	A	Q9ZWQ6	8039958	8027579
4hp4	A	A1ZB14	8084674	8084673
2z6d	B	P93025	8084680	8084679
1oh0	A	P07445	8034008	8021628
1isk	A	P00947	8034686	8022306
2k54	A	A9CJY7	8034767	8022387
3b7c	A	Q8EKG8	8038910	8026531
3blz	A	A3D088	8039363	8026984
1uli	B	Q53123	8040914	8028535
3en8	A	Q13PU4	8041104	8028725
1o7n	B	P0A112	8044088	8031710
4q53	A	A7V9L7	8052400	8044748
4ouq	A	Q64WA7	8052401	8044749
3wz3	A	Q9R2H2	8052405	8046389
4kz1	A	C6AER9	8078085	8078084
6d63	F	A0A0V8SMU2	8084802	8084801
6s5l	D	Q8YMJ3	8095647	8095646
1pxr	A	P02945	8039329	8026950
5b35	A	B0R5N9	8071302	8071301
4jq6	B	Q4PP54	8071322	8071321
4xtn	B	N0DKS8	8071332	8071331
4or2	A	Q13255	8091092	8047349
6d32	A	A0A1L8GTP2	8091116	8091115
6i9k	A	B1B1U5	8091144	8091143
5ws3	A	O43614	8091148	8091147
2ycw	A	P07700	8091152	8091151
6gps	A	P41597	8091216	8091215
6gux	A	P96787	8094347	8094346
6lfm	R	P25025	8098598	8098597
6ibb	A	Q6IYF9	8099816	8099815
6ko5	A	Q92847	8100352	8100351
4tps	C	P45707	8090857	8045527
1br9	A	P16035	8041907	8029528
1e0f	I	Q25163	8038391	8026012
3urr	A	Q2T1A8	8069287	8069286
2d0o	B	O68196	8039456	8027077
1egv	B	Q59471	8044419	8032041
4y7k	B	Q8TNK0	8100254	8100253
4hwx	A	Q9FDS0	8070139	8070138
1ozb	I	P43803	8037988	8025609
1wui	S	P21853	8033294	8020914
5hy3	A	O82881	8052562	8044769
2dg1	A	Q99QV3	8039747	8027368
4gnc	A	Q15493	8099180	8099179
2hqs	A	P0A855	8042387	8030008
1cfe	A	P04284	8036125	8023745
1u53	A	Q7Z1H1	8071980	8071979
6any	A	A0A0J9Y762	8084377	8084376
2ek0	A	Q5SK02	8091018	8045596
1ex2	A	Q02169	8017412	8017411
2car	A	Q9BY32	8017421	8017420
1k7k	A	P52061	8058165	8058164
2gec	A	P32923	8041824	8029445
2dfu	B	Q5SK43	8052516	8044764
6j5x	B	Q8NLC0	8101118	8101117
2b6o	A	Q6J8I9	8037743	8025364
6qim	B	Q9FF53	8095581	8095580
3i4e	A	Q63SY3	8075313	8075312
2dua	A	Q84G06	8082249	8082248
4l9y	B	Q3J5L6	8083972	8083971
5vxs	F	Q8N0X4	8100188	8100187
2fk4	A	P03126	8034000	8021620
7cvs	A	D7XDR7	8104269	8104268
6ir8	A	B9FNW2	8091618	8091617
3al0	C	Q9WY94	8082965	8082964
3kfu	G	Q9LCX4	8082969	8082968
1t3t	A	P74881	8039955	8027576
1t4a	A	P12049	8039961	8027582
2yx5	A	Q58988	8063412	8063411
1ztp	A	Q9H3H3	8036257	8023877
6fc0	A	G0SCU4	8072940	8072939
5me6	A	Q00LS8	8072944	8072943
2gia	A	Q952G2	8041898	8029519
1uix	A	Q28021	8041827	8029448
2vrs	B	Q992I2	8092995	8092994
2ezw	A	P00514	8040370	8027991
1kqf	C	P0AEK7	8040572	8028193
4icg	D	Q7CR17	8075906	8075905
2b9d	A	P06465	8033516	8021136
2ewl	A	P21736	8034041	8021661
6cku	A	Q8QGN9	8092891	8092890
1u58	A	A2Q6L5	8032345	8019965
1vgk	A	P01902	8032356	8019976
1zs8	A	Q860W6	8032583	8020203
1iak	B	P06343	8034738	8022358
1iak	A	P01910	8034741	8022361
1mhc	A	Q31093	8034805	8022425
1muj	B	P14483	8043808	8031430
2bvp	A	P01889	8055662	8055661
4jo8	A	Q6XK91	8103632	8046761
1hpc	A	P16048	8043095	8030716
1qjo	A	P06959	8043100	8030721
3m4y	A	O57728	8056939	8056938
3a7l	A	P0A6T9	8077749	8077748
3d4r	A	Q6M171	8092002	8045759
1jse	A	P00703	8033677	8021297
1hhl	A	P00704	8033686	8021306
5v92	A	P00705	8069391	8069390
4yf2	A	Q9D9X8	8069397	8069396
4olt	A	E1AXU1	8080259	8080258
4qwp	A	Q8KZM5	8080261	8080260
6v3z	A	A0A1R2HMX1	8096540	8096539
6ul3	B	Q95V66	8100384	8100383
6v40	B	Q8Z6A5	8101719	8101718
4cfp	A	P0C066	8103600	8047073
1o9y	A	O85094	8037363	8024984
1tlj	A	Q9UX16	8040291	8027912
2qg3	B	O28220	8089290	8089289
2x06	A	Q58820	8040559	8028180
1x0a	A	Q53W84	8080612	8080611
1x4s	A	Q9UHR6	8033611	8021231
1nrw	A	P94592	8033572	8021192
1qq5	A	Q60099	8037608	8025229
1cr6	A	P34914	8037615	8025236
1q92	A	Q9NPB1	8039928	8027549
1nun	A	O15520	8043931	8031553
5uyt	B	B3GGB1	8052451	8052450
1l5j	A	P36683	8041083	8028704
4owt	C	Q9NRY2	8052447	8044754
4pib	D	Q2SVW5	8052472	8047447
4o26	B	Q1PS67	8052454	8047108
2f09	A	P28224	8040384	8028005
2i8b	B	Q77DJ5	8052486	8046545
2khm	A	Q16987	8052498	8046197
2k3p	A	Q1I128	8052499	8046199
1iu8	A	O58321	8039735	8027356
1a2z	A	O07883	8044570	8032192
4zi3	D	Q8C6E0	8052508	8046574
3dof	B	Q9Y2Y0	8052509	8046575
1u1j	A	O50008	8040656	8028277
4ay7	A	Q8PXZ6	8072675	8072674
4w4u	F	N1P8F5	8052554	8051635
6tbm	P	C4R1P1	8097426	8097425
2brj	A	Q9LS02	8033592	8021212
4h69	A	Q8H0N6	8088975	8088974
5hy3	B	P39232	8052563	8047137
3wsc	A	Q25C86	8052611	8044772
4bgo	A	Q4ZR20	8052616	8044775
3oyv	A	A7M120	8052617	8044774
2ic6	A	Q89462	8052600	8048320
2k48	A	Q80DP9	8052601	8048321
1yw4	A	Q7NU26	8034977	8022597
1yw6	A	P76215	8034978	8022598
1jqg	A	O97389	8039970	8027591
2fvg	A	Q9X0D9	8041389	8029010
1y7e	A	P0C925	8044287	8031909
4q6o	A	O25708	8053708	8046359
5j72	A	Q183L9	8056035	8056034
5mrv	A	Q8IVL8	8069429	8069428
4fai	A	Q86PD7	8085143	8085142
5emi	A	B2J2S4	8088936	8088935
4bin	A	P63883	8092184	8092183
3viq	B	Q9UUB7	8052653	8048987
2yfv	C	Q6CL77	8052665	8044784
1xdp	A	P0A7B1	8033705	8021325
1q32	A	P38319	8038467	8026088
1v0w	A	P84147	8041075	8028696
2o8r	A	Q7MTR1	8043412	8031034
6xii	9	D7ZA73	8097638	8097637
2ymj	A	Q32NN2	8052677	8045750
1vf8	A	O35744	8032382	8020002
2pi6	A	Q6TMG6	8035658	8023278
6epb	A	P48827	8101054	8101053
4l1c	A	Q1RCS1	8103660	8046959
3ka5	A	Q97F93	8052701	8045352
1zca	A	P27600	8056786	8056784
1tad	A	P04695	8056789	8056787
1azt	A	P04896	8056792	8056790
3c7k	A	P18872	8056798	8056796
3k8p	D	Q12745	8052704	8050725
5ip4	D	O43602	8091682	8091681
4v8m	AE	Q38CI4	8052727	8045084
6hwh	W	A0R049	8075786	8075785
2qsh	A	P14736	8052785	8044799
3jqo	n	Q46705	8052800	8044797
2g80	A	P32626	8041725	8029346
4ex6	A	B6SEG4	8058663	8058662
4bkm	A	P60487	8058826	8058825
4qjb	A	Q8IJ74	8059948	8059947
3dv9	A	A6L7P8	8060382	8060381
3nas	B	O06995	8060388	8060387
3e58	A	Q5M5S4	8060390	8060389
2i6x	A	Q7MWA6	8075180	8075179
4hgn	A	Q8A748	8081294	8081293
6w04	A	C4LXK0	8097416	8097415
1r48	A	P0C0L7	8040345	8027966
7rca	A	A0A202G8T3	8103759	8103758
1gl0	I	P80060	8035928	8023548
1kj0	A	O46162	8038270	8025891
1ry2	A	Q01574	8041037	8028658
4d56	A	G0WVH3	8097800	8097799
5zrn	A	P9WQ36	8099070	8099069
3tsy	A	Q42524	8099438	8099437
2vnd	A	P08038	8086732	8086731
5czz	A	J7RUA5	8092303	8045839
2di4	A	O67077	8039768	8027389
2gpi	A	A3QJE4	8034099	8021719
2ozn	B	P26831	8055975	8055973
2vn6	B	P17901	8076419	8076418
1tfr	A	P13319	8037730	8025351
5fir	I	Q9U299	8105314	8051180
2y35	A	E1JJR3	8105316	8051178
3pie	B	Q6CJ09	8105320	8051179
5myj	BU	A2RLA4	8082435	8082434
7jil	R	A0A1M5GFZ4	8101940	8101939
6wu9	S	Q836X6	8103434	8103433
1xag	A	Q6GGU4	8083538	8083537
3qbd	B	P9WPX9	8083540	8083539
4p53	A	H2K887	8097866	8097865
2gru	A	Q9S5E2	8100644	8100643
1tvf	A	Q57540	8040465	8028086
4s2r	Q	O44750	8054216	8045059
2h28	A	P76364	8042145	8029766
1kps	B	P46061	8038378	8025999
1ci4	A	O75531	8037724	8025345
2prr	A	Q46Y90	8035998	8023618
2gmy	A	Q7D1C9	8041965	8029586
3j9w	BZ	P05657	8075028	8075027
5li0	Z	Q2FXT0	8075030	8075029
6pj6	e	A0A074HTA6	8093424	8093423
6spf	W	A0A071LFT4	8094659	8094658
6o8y	X	A0A1B4XMB1	8096476	8096475
1wr0	A	O75351	8033242	8020862
1vkz	A	Q9X0X7	8041422	8029043
1ci3	M	P95522	8043114	8030735
1hf2	B	Q9X0D7	8033215	8020835
1mkn	A	P21741	8038398	8026019
1i2a	A	P54050	8035890	8023510
2inn	L	Q84AQ3	8078265	8078264
4v6w	CC	P09180	8052812	8049949
1jey	B	P13010	8035577	8023197
1ow1	A	Q96T58	8037829	8025450
2j0s	T	O15234	8052821	8044800
1vrp	A	P04414	8032728	8020348
1f52	A	P0A1P6	8036260	8023880
1r8g	B	P77213	8038786	8026407
1i0e	A	P06732	8044541	8032163
2q3n	B	Q9M6E9	8035207	8022827
2q3n	B	Q9M6E9	8035208	8022828
2rg9	B	P81446	8036805	8024426
1qxm	A	P0DPR0	8040071	8027692
2f2f	A	O87120	8040481	8028102
1dqg	A	Q61830	8042028	8029649
1ups	A	Q934G8	8042924	8030545
1xhb	A	O08912	8043894	8031516
1w3a	A	Q7Z8V1	8093166	8093165
5mrc	PP	Q02608	8066557	8066556
6v3a	p	A0A1V3DIZ9	8095491	8095490
6ogg	U	B7MIU7	8097318	8097317
7nhn	q	Q8Y699	8103196	8103195
6ckq	A	Q2SYC5	8074898	8074897
2jr0	A	O66530	8074900	8074899
2bds	A	P11494	8038621	8026242
