# 2021/11/14 - 18:08 | PDB: 45.21 | UniProt: 2021.04
SP_PRIMARY	PDB
P00722	1dp0;1f4a;1f4h;1hn1;1jyn;1jyv;1jyw;1jyx;1jz2;1jz3;1jz4;1jz5;1jz6;1jz7;1jz8;1px3;1px4;3czj;3dym;3dyo;3dyp;3e1f;3i3b;3i3d;3i3e;3iap;3iaq;3j7h;3muy;3muz;3mv0;3mv1;3sep;3t08;3t09;3t0a;3t0b;3t0d;3t2o;3t2p;3t2q;3vd3;3vd4;3vd5;3vd7;3vd9;3vda;3vdb;3vdc;4ckd;4duv;4duw;4dux;4v40;4v41;4v44;4v45;5a1a;6cvm;6drv;6kuz;6tsh;6tte;6x1q;7brs;7btk
P00723	3ob8;3oba
P00724	4eqv
P00727	1bll;1bpm;1bpn;1lam;1lan;1lap;1lcp;2ewb;2j9a
P00729	1cpy;1wpx;1ysc
P00730	1arl;1arm;1bav;1cbx;1cps;1cpx;1ee3;1ell;1elm;1f57;1hdq;1hdu;1hee;1iy7;1m4l;1pyt;1yme;1zlh;2abz;2ctb;2ctc;2rfh;3cpa;3fvl;3fx6;3i1u;3kgq;4cpa;5cpa;6cpa;7cpa;8cpa
P00732	1cpb
P00733	1lbu
P00734	1a2c;1a3b;1a3e;1a46;1a4w;1a5g;1a61;1abi;1abj;1ad8;1ae8;1afe;1aht;1ai8;1aix;1awf;1awh;1ay6;1b5g;1b7x;1ba8;1bb0;1bcu;1bhx;1bmm;1bmn;1bth;1c1u;1c1v;1c1w;1c4u;1c4v;1c4y;1c5l;1c5n;1c5o;1ca8;1d3d;1d3p;1d3q;1d3t;1d4p;1d6w;1d9i;1de7;1dit;1dm4;1doj;1dwb;1dwc;1dwd;1dwe;1dx5;1e0f;1eb1;1eoj;1eol;1fpc;1fph;1g30;1g32;1g37;1ghv;1ghw;1ghx;1ghy;1gj4;1gj5;1h8d;1h8i;1hag;1hah;1hai;1hao;1hap;1hbt;1hdt;1hgt;1hlt;1hut;1hxe;1hxf;1ihs;1iht;1jmo;1jou;1jwt;1k21;1k22;1kts;1ktt;1lhc;1lhd;1lhe;1lhf;1lhg;1mh0;1mu6;1mu8;1mue;1nm6;1no9;1nrn;1nro;1nrp;1nrq;1nrr;1nrs;1nt1;1nu7;1nu9;1ny2;1nzq;1o0d;1o2g;1o5g;1ook;1oyt;1p8v;1ppb;1qbv;1qhr;1qj1;1qj6;1qj7;1qur;1rd3;1riw;1sb1;1sfq;1sg8;1sgi;1shh;1sl3;1sr5;1t4u;1t4v;1ta2;1ta6;1tb6;1tbz;1thp;1thr;1ths;1tmb;1tmt;1tmu;1tom;1tq0;1tq7;1twx;1uma;1uvs;1vr1;1vzq;1w7g;1way;1wbg;1xm1;1xmn;1ype;1ypg;1ypj;1ypk;1ypl;1ypm;1z71;1z8i;1z8j;1zgi;1zgv;1zrb;2a0q;2a2x;2a45;2afq;2ank;2anm;2b5t;2bdy;2bvr;2bvs;2bvx;2bxt;2bxu;2c8w;2c8x;2c8y;2c8z;2c90;2c93;2cf8;2cf9;2cn0;2feq;2fes;2gde;2gp9;2h9t;2hgt;2hnt;2hpp;2hpq;2hwl;2jh0;2jh5;2jh6;2od3;2pgb;2pgq;2pks;2pw8;2r2m;2thf;2uuf;2uuj;2uuk;2v3h;2v3o;2zc9;2zda;2zdv;2zf0;2zff;2zfp;2zfq;2zfr;2zg0;2zgb;2zgx;2zhe;2zhf;2zhq;2zhw;2zi2;2ziq;2znk;2zo3;3b23;3b9f;3bef;3bei;3bf6;3biu;3biv;3bv9;3c1k;3c27;3d49;3da9;3dd2;3dhk;3dt0;3dux;3e6p;3ee0;3egk;3eq0;3f68;3gic;3gis;3hat;3hkj;3htc;3jz1;3jz2;3k65;3ldx;3lu9;3nxp;3p17;3p6z;3p70;3pmh;3po1;3qdz;3qgn;3qlp;3qto;3qtv;3qwc;3qx5;3r3g;3rlw;3rly;3rm0;3rm2;3rml;3rmm;3rmn;3rmo;3s7h;3s7k;3sha;3shc;3si3;3si4;3sqe;3sqh;3sv2;3t5f;3tu7;3u69;3u8o;3u8r;3u8t;3u98;3u9a;3utu;3uwj;3vxe;3vxf;4ax9;4ayv;4ayy;4az2;4bah;4bak;4bam;4ban;4bao;4baq;4boh;4ch2;4ch8;4dih;4dii;4dt7;4dy7;4e05;4e06;4e7r;4h6s;4h6t;4hfp;4htc;4hzh;4i7y;4loy;4lxb;4lz1;4lz4;4mlf;4nzq;4o03;4rkj;4rko;4rn6;4thn;4ud9;4udw;4ue7;4ueh;4ufd;4ufe;4uff;4ufg;4yes;5a2m;5af9;5afy;5afz;5ahg;5cmx;5do4;5e8e;5edk;5edm;5ew1;5ew2;5gds;5gim;5jdu;5jfd;5jzy;5l6n;5lce;5lpd;5mjt;5mls;5mm6;5nhu;5to3;5z5w;5z5x;6bjr;6c2w;6cym;6eo6;6eo7;6eo8;6eo9;6evv;6fjt;6gbw;6gn7;6gwe;6hsx;6i51;6p9u;6px5;6pxj;6pxq;6rot;6t3m;6t3q;6t4a;6t52;6t53;6t54;6t55;6t56;6t57;6t7h;6t89;6t8a;6tdt;6tkg;6tkh;6tki;6tkj;6tkl;6v5t;6v64;6y02;6y9h;6yb6;6yhg;6yhj;6ymp;6yn3;6yqv;6ysj;6ysx;6z8v;6z8w;6z8x;6zgo;6zug;6zuh;6zun;6zuu;6zuw;6zux;6zv7;6zv8;7ac9;7kme;7ntu;7phx;8kme
P00735	1a0h;1avg;1bbr;1etr;1ets;1ett;1hrt;1id5;1mkw;1mkx;1nl1;1nl2;1tbq;1tbr;1toc;1ucy;1uvt;1uvu;1vit;1ycp;2a1d;2hpp;2ody;2pf1;2pf2;2spt;3pma;3pmb;7a0d;7a0e;7a0f
P00736	1apq;1gpz;1md7;1md8;2qy0;6f1c;6f1d;6f1h;6f39;7mzt
P00738	4wjg;4x0l;5hu6;6tb2
P00740	1cfh;1cfi;1edm;1ixa;1mgx;1nl0;1rfn;2wph;2wpi;2wpj;2wpk;2wpl;2wpm;3kcg;3lc3;3lc5;4wm0;4wma;4wmb;4wmi;4wmk;4wn2;4wnh;4yzu;4z0k;4zae;5egm;5f84;5f85;5f86;5jb8;5jb9;5jba;5jbb;5jbc;5tno;5tnt;5vyg;6mv4;6rfk;6x5j;6x5l;6x5p;7ahv
P00741	1j34;1j35
P00742	1c5m;1ezq;1f0r;1f0s;1fax;1fjs;1g2l;1g2m;1hcg;1ioe;1iqe;1iqf;1iqg;1iqh;1iqi;1iqj;1iqk;1iql;1iqm;1iqn;1ksn;1lpg;1lpk;1lpz;1lqd;1mq5;1mq6;1nfu;1nfw;1nfx;1nfy;1p0s;1v3x;1wu1;1xka;1xkb;1z6e;2bmg;2boh;2bok;2bq6;2bq7;2bqw;2cji;2d1j;2ei6;2ei7;2ei8;2fzz;2g00;2gd4;2h9e;2j2u;2j34;2j38;2j4i;2j94;2j95;2jkh;2p16;2p3f;2p3t;2p3u;2p93;2p94;2p95;2phb;2pr3;2q1j;2ra0;2uwl;2uwo;2uwp;2vh0;2vh6;2vvc;2vvu;2vvv;2vwl;2vwm;2vwn;2vwo;2w26;2w3i;2w3k;2wyg;2wyj;2xbv;2xbw;2xbx;2xby;2xc0;2xc4;2xc5;2y5f;2y5g;2y5h;2y7x;2y7z;2y80;2y81;2y82;3cen;3cs7;3ens;3ffg;3hpt;3iit;3k9x;3kl6;3kqb;3kqc;3kqd;3kqe;3liw;3m36;3m37;3q3k;3sw2;3tk5;3tk6;4a7i;4bti;4btt;4btu;4y6d;4y71;4y76;4y79;4y7a;4y7b;4zh8;4zha;5jqy;5jtc;5jz8;5jzu;5k0h;5voe;5vof;6q9f;6q9i;6yyw;6yyx;6yyy;6z6q;6z6r;7ahu;7bmi;7bmj;7e6j
P00743	1apo;1ccf;1iod;1kig;1whe;1whf
P00746	1bio;1dfp;1dic;1dst;1dsu;1fdp;1hfd;2xw9;2xwa;2xwb;4cbn;4cbo;4d9r;5fbe;5fbi;5fck;5mt0;5mt4;5nar;5nat;5naw;5nb6;5nb7;5nba;5tca;5tcc;6fty;6ftz;6fug;6fuh;6fui;6fuj;6fut;6qmr;6qmt;6vmj;6vmk
P00747	1b2i;1bml;1bui;1cea;1ceb;1ddj;1hpj;1hpk;1i5k;1ki0;1krn;1l4d;1l4z;1pk4;1pkr;1pmk;1qrz;1rjx;2doh;2doi;2knf;2l0s;2pk4;3uir;4a5t;4cik;4dcb;4dur;4duu;5hpg;5ugd;5ugg;6d3x;6d3y;6d3z;6d40;6og4;6oqj;6oqk;6q1u;6uz4;6uz5
P00748	4bdw;4bdx;4xde;4xe4;6b74;6b77;6gt6;6l63;6qf7;6szw;6x0s;6x0t;7fbp
P00749	1c5w;1c5x;1c5y;1c5z;1ejn;1f5k;1f5l;1f92;1fv9;1gi7;1gi8;1gi9;1gj7;1gj8;1gj9;1gja;1gjb;1gjc;1gjd;1kdu;1lmw;1o3p;1o5a;1o5b;1o5c;1owd;1owe;1owh;1owi;1owj;1owk;1sc8;1sqa;1sqo;1sqt;1u6q;1urk;1vj9;1vja;1w0z;1w10;1w11;1w12;1w13;1w14;2fd6;2i9a;2i9b;2nwn;2o8t;2o8u;2o8w;2r2w;2vin;2vio;2vip;2viq;2viv;2viw;2vnt;3bt1;3bt2;3ig6;3kgp;3khv;3kid;3m61;3mhw;3mwi;3ox7;3oy5;3oy6;3pb1;3qn7;3u73;4dva;4dw2;4fu7;4fu8;4fu9;4fub;4fuc;4fud;4fue;4fuf;4fug;4fuh;4fui;4fuj;4gly;4h42;4jk5;4jk6;4k24;4mnv;4mnw;4mnx;4mny;4os1;4os2;4os4;4os5;4os6;4os7;4x0w;4x1n;4x1p;4x1q;4x1r;4x1s;4xsk;4zhl;4zhm;4zkn;4zko;4zkr;4zks;5hgg;5wxf;5wxo;5wxp;5wxq;5wxr;5wxs;5wxt;5xg4;5yc6;5yc7;5z1c;5za7;5za8;5za9;5zae;5zaf;5zag;5zah;5zaj;5zc5;6ag2;6ag3;6ag7;6ag9;6jyp;6jyq;6l04;6l05;6nmb;6xvd;7dzd
P00750	1a5h;1bda;1pk2;1pml;1rtf;1tpg;1tpk;1tpm;1tpn;5brr;5zlz
P00751	1dle;1q0p;1rrk;1rs0;1rtk;2ok5;2win;2xwb;2xwj;3hrz;3hs0;6qsw;6qsx;6rav;6rur;6ruv;6t8u;6t8v;6t8w;7jtn;7jtq
P00752	1hia;2kai;2pka
P00756	1sgf
P00757	1sgf
P00759	1ton
P00760	1aq7;1auj;1az8;1bju;1bjv;1btp;1btw;1btx;1bty;1btz;1c1n;1c1o;1c1p;1c1q;1c1r;1c1s;1c1t;1c2d;1c2e;1c2f;1c2g;1c2h;1c2i;1c2j;1c2k;1c2l;1c2m;1c5p;1c5q;1c5r;1c5s;1c5t;1c5u;1c5v;1c9t;1ce5;1d6r;1eb2;1ejm;1ezx;1f0t;1f0u;1f2s;1g36;1g3b;1g3c;1g3d;1g3e;1g9i;1gbt;1ghz;1gi0;1gi1;1gi2;1gi3;1gi4;1gi5;1gi6;1gj6;1hj9;1j8a;1jir;1jrs;1jrt;1k1i;1k1j;1k1l;1k1m;1k1n;1k1o;1k1p;1lqe;1max;1may;1mts;1mtu;1mtv;1mtw;1n6x;1n6y;1nc6;1ntp;1o2h;1o2i;1o2j;1o2k;1o2l;1o2m;1o2n;1o2o;1o2p;1o2q;1o2r;1o2s;1o2t;1o2u;1o2v;1o2w;1o2x;1o2y;1o2z;1o30;1o31;1o32;1o33;1o34;1o35;1o36;1o37;1o38;1o39;1o3a;1o3b;1o3c;1o3d;1o3e;1o3f;1o3g;1o3h;1o3i;1o3j;1o3k;1o3l;1o3m;1o3n;1o3o;1oph;1ox1;1oyq;1p2i;1p2j;1p2k;1ppc;1ppe;1pph;1qa0;1qb1;1qb6;1qb9;1qbn;1qbo;1qcp;1ql7;1ql8;1rxp;1s0q;1s0r;1sbw;1sfi;1smf;1tab;1taw;1tgb;1tgc;1tgn;1tgs;1tgt;1tio;1tld;1tng;1tnh;1tni;1tnj;1tnk;1tnl;1tpa;1tpo;1tpp;1tps;1tx7;1tx8;1tyn;1utn;1uto;1utp;1utq;1v2j;1v2k;1v2l;1v2m;1v2n;1v2o;1v2p;1v2q;1v2r;1v2s;1v2t;1v2u;1v2v;1v2w;1xuf;1xug;1xuh;1xui;1xuj;1xuk;1y3u;1y3v;1y3w;1y3x;1y3y;1y59;1y5a;1y5b;1y5u;1yp9;1yyy;1zr0;1zzz;2a7h;2age;2agg;2agi;2ah4;2ayw;2blv;2blw;2btc;2by5;2by6;2by7;2by8;2by9;2bya;2bza;2cmy;2d8w;2f3c;2fi3;2fi4;2fi5;2ftl;2ftm;2fx4;2fx6;2g55;2g5n;2g5v;2g81;2g8t;2iln;2j9n;2o9q;2otv;2oxs;2plx;2ptc;2ptn;2qn5;2qyi;2tga;2tgd;2tgp;2tgt;2tio;2tld;2tpi;2uuy;2xtt;2zdk;2zdl;2zdm;2zdn;2zfs;2zft;2zhd;2zq1;2zq2;3a7t;3a7v;3a7w;3a7x;3a7y;3a7z;3a80;3a81;3a82;3a83;3a84;3a85;3a86;3a87;3a88;3a89;3a8a;3a8b;3a8c;3a8d;3aas;3aau;3aav;3ati;3atk;3atl;3atm;3btd;3bte;3btf;3btg;3bth;3btk;3btm;3btq;3btt;3btw;3d65;3e8l;3gy2;3gy3;3gy4;3gy5;3gy6;3gy7;3gy8;3i29;3iti;3ljj;3ljo;3m35;3m7q;3mfj;3mi4;3nk8;3nkk;3otj;3plb;3plk;3plp;3pm3;3pmj;3ptb;3ptn;3pwb;3pwc;3pyh;3q00;3qk1;3rdz;3ru4;3rxa;3rxb;3rxc;3rxd;3rxe;3rxf;3rxg;3rxh;3rxi;3rxj;3rxk;3rxl;3rxm;3rxo;3rxp;3rxq;3rxr;3rxs;3rxt;3rxu;3rxv;3t25;3t26;3t27;3t28;3t29;3tpi;3unq;3unr;3uns;3uop;3upe;3uqo;3uqv;3uuz;3uwi;3uy9;3v0x;3v12;3v13;3veq;3vpk;4ab8;4ab9;4aba;4abb;4abd;4abe;4abf;4abg;4abh;4abi;4abj;4aoq;4aor;4b1t;4b2a;4b2b;4b2c;4gux;4hgc;4i8g;4i8h;4i8j;4i8k;4i8l;4j2y;4kts;4ktu;4mtb;4ncy;4niv;4niw;4nix;4niy;4tpi;4tpy;4u2w;4xoj;4y0y;4y0z;4y10;4y11;4yta;5eg4;5f6m;5fxl;5gib;5gxp;5jyi;5k7r;5lgo;5lh4;5lh8;5mn1;5mna;5mnb;5mnc;5mne;5mnf;5mng;5mnh;5mnk;5mnl;5mnm;5mnn;5mno;5mnp;5mnq;5mnx;5mny;5mnz;5mo0;5mo1;5mo2;5mon;5moo;5mop;5moq;5mor;5mos;5ptp;5t3h;6avl;6b6n;6b6o;6b6p;6b6q;6b6r;6b6s;6b6t;6bfp;6bvh;6dwf;6dwh;6dwr;6dwu;6dzf;6e5m;6eat;6eau;6eav;6eaw;6eax;6fid;6mrq;6qih;6ql0;6sux;6sv0;6sv6;6sv8;6sv9;6svb;6svd;6svg;6svi;6svj;6svn;6svr;6svu;6svv;6svw;6svx;6svz;6sw0;6swv;6sy3;6t0m;6t0p;6t5w;6t9u;6t9v;6u22;6vxy;6xyg;6xyk;6ydy;6yis;6yit;6yiu;6yiv;6yiw;6yix;6yiy;6yza;6yzc;6zfj;6zfk;6zq2;7al8;7ays;7brv;7brw;7brx;7bry;7brz;7bs0;7bs1;7bs2;7bs3;7bs4;7bs5;7bs6;7bs7;7bs8;7bs9;7bsa;7jr1;7jr2;7jwx
P00761	1aks;1an1;1avw;1avx;1c9p;1eja;1ept;1fmg;1fn6;1fni;1h9h;1h9i;1ldt;1mct;1qqu;1s5s;1s6f;1s6h;1s81;1s82;1s83;1s84;1s85;1tfx;1tx6;1uhb;1v6d;1yf4;1z7k;2a31;2a32;3myw;4an7;4doq;5xw1;5xw8;5xw9;5xwa;5xwj;5xwl
P00763	1amh;1anb;1anc;1and;1ane;1bra;1brb;1brc;1co7;1dpo;1ezs;1ezu;1f5r;1f7z;1fy8;1j14;1j15;1j16;1j17;1k9o;1ql9;1slu;1slv;1slw;1slx;1trm;1ykt;1ylc;1yld;2trm;3fp6;3fp7;3fp8;3tgi;3tgj;3tgk
P00766	1ab9;1acb;1afq;1ca0;1cbw;1cgi;1cgj;1chg;1cho;1dlk;1ex3;1gcd;1gct;1gg6;1ggd;1gha;1ghb;1gl0;1gl1;1gmc;1gmd;1gmh;1hja;1k2i;1mtn;1n8o;1oxg;1p2m;1p2n;1p2o;1p2q;1t7c;1t8l;1t8m;1t8n;1t8o;1vgc;1yph;2cga;2cha;2gch;2gct;2gmt;2p8o;2vgc;2y6t;3bg4;3gch;3gct;3ru4;3t62;3vgc;4cha;4gch;4q2k;4vgc;5cha;5gch;5j4q;5j4s;5r42;5r43;5r44;5r45;5r46;5r47;5r48;5r49;5r4a;5r4b;5r4c;5r4d;6cha;6di8;6gch;7gch;7jrx;7kty;7ktz;7ku0;7ku1;7ku2;7ku3;8gch
P00767	3bg4
P00770	3rp2
P00771	1azz
P00772	1b0e;1bma;1btu;1c1m;1e34;1e35;1e36;1e37;1e38;1eai;1eas;1eat;1eau;1ela;1elb;1elc;1eld;1ele;1elf;1elg;1esa;1esb;1est;1fle;1fzz;1gvk;1gwa;1h9l;1hax;1hay;1haz;1hb0;1hv7;1inc;1jim;1l0z;1l1g;1lka;1lkb;1lvy;1mcv;1mmj;1nes;1okx;1qgf;1qix;1qnj;1qr3;1uo6;1uvo;1uvp;2a7c;2a7j;2bb4;2bd2;2bd3;2bd4;2bd5;2bd7;2bd8;2bd9;2bda;2bdb;2bdc;2blo;2blq;2cv3;2d26;2de8;2de9;2est;2fo9;2foa;2fob;2foc;2fod;2foe;2fof;2fog;2foh;2g4t;2g4u;2h1u;2iot;2oqu;2v0b;2v35;3e3t;3est;3hgn;3hgp;3mnb;3mnc;3mns;3mnx;3mo3;3mo6;3mo9;3moc;3mty;3mu0;3mu1;3mu4;3mu5;3mu8;3odd;3odf;3uou;4est;4gvu;4ym9;5avd;5est;6est;6q8s;6qbu;6qen;6qeo;6th7;7est;8est;9est
P00775	1os8;1oss;1sgt;2fmj;3beu;3i77;3i78
P00776	1sgc;2sga;3sga;4sga;5sga
P00777	1cso;1ct0;1ct2;1ct4;1ds2;1sgd;1sge;1sgn;1sgp;1sgq;1sgr;1sgy;2gkv;2nu0;2nu1;2nu2;2nu3;2nu4;2qa9;2qaa;2sgd;2sge;2sgf;2sgp;2sgq;3sgb;3sgq;4sgb
P00778	1boq;1gba;1gbb;1gbc;1gbd;1gbe;1gbf;1gbh;1gbi;1gbj;1gbk;1gbl;1gbm;1p01;1p02;1p03;1p04;1p05;1p06;1p09;1p10;1p11;1p12;1qq4;1qrw;1qrx;1ssx;1tal;2alp;2h5c;2h5d;2lpr;2pro;2ull;3lpr;3m7t;3m7u;3pro;3qgj;3urc;3urd;3ure;4pro;5lpr;5wot;6lpr;7lpr;8lpr;9lpr
P00779	1bml;1l4d;1l4z;1qqr
P00780	1af4;1av7;1avt;1be6;1be8;1bfk;1bfu;1c3l;1oyv;1r0r;1sbc;1sca;1scb;1scd;1scn;1sel;1vsb;1yu6;2sec;2wuv;2wuw;3unx;3vsb;4c3u;4c3v;6dwq
P00781	1bh6
P00782	1a2q;1ak9;1aqn;1au9;1dui;1gns;1gnv;1lw6;1s01;1s02;1sbh;1sbi;1sbn;1sbt;1sib;1spb;1st2;1sua;1sub;1suc;1sud;1sue;1sup;1tm1;1tm3;1tm4;1tm5;1tm7;1tmg;1to1;1to2;1ubn;1v5i;1y1k;1y33;1y34;1y3b;1y3c;1y3d;1y3f;1y48;1y4a;1y4d;1yja;1yjb;1yjc;2sbt;2sic;2sni;2st1;3bgo;3cnq;3co0;3f49;3sic;5ox2;5sic;7am3;7am4;7am5;7am6;7am7;7am8
P00784	1bp4;1bqi;1cvz;1khp;1khq;1pad;1pe6;1pip;1pop;1ppd;1ppn;1ppp;1stf;2cio;2pad;3e1z;3ima;3lfy;3tnx;3usv;4pad;4qrg;4qrv;4qrx;5pad;6h8t;6pad;6tcx;9pap
P00785	1aec;2act
P00787	1cpj;1cte;1mir;1the
P00791	1f34;1psa;1yx9;2psg;3pep;3psg;4pep;5pep;6xct;6xcy;6xcz;6xd2
P00794	1cms;1czi;3cms;4aa8;4auc;4cms
P00796	1smr
P00797	1bbs;1bil;1bim;1hrn;1rne;2bks;2bkt;2fs4;2g1n;2g1o;2g1r;2g1s;2g1y;2g20;2g21;2g22;2g24;2g26;2g27;2i4q;2iko;2iku;2il2;2ren;2v0z;2v10;2v11;2v12;2v13;2v16;2x0b;3d91;3g6z;3g70;3g72;3gw5;3k1w;3km4;3o9l;3oad;3oag;3oot;3oqf;3oqk;3own;3q3t;3q4b;3q5h;3sfc;3vcm;3vsw;3vsx;3vuc;3vyd;3vye;3vyf;4amt;4gj5;4gj6;4gj7;4gj8;4gj9;4gja;4gjb;4gjc;4gjd;4pyv;4q1n;4ryc;4ryg;4rz1;4s1g;4xx3;4xx4;5koq;5kos;5kot;5sxn;5sy2;5sy3;5sz9;5t4s;5tmg;5tmk;5v8v;5vpm;5vrp;6i3f
P00798	1apt;1apu;1apv;1apw;1bxo;1bxq;1ppk;1ppl;1ppm;2wea;2web;2wec;2wed;3app
P00799	2asi;2rmp
P00800	1fj3;1fjo;1fjq;1fjt;1fju;1fjv;1fjw;1gxw;1hyt;1kei;1kjo;1kjp;1kkk;1kl6;1kr6;1kro;1ks7;1kto;1l3f;1lna;1lnb;1lnc;1lnd;1lne;1lnf;1os0;1pe5;1pe7;1pe8;1qf0;1qf1;1qf2;1thl;1tli;1tlp;1tlx;1tmn;1trl;1y3g;1z9g;1zdp;2a7g;2g4z;2tli;2tlx;2tmn;2whz;2wi0;3dnz;3do0;3do1;3do2;3eim;3f28;3f2p;3fb0;3fbo;3fcq;3fgd;3flf;3for;3fv4;3fvp;3fxp;3fxs;3ls7;3ms3;3msa;3msf;3msn;3n21;3nn7;3p7p;3p7q;3p7r;3p7s;3p7t;3p7u;3p7v;3p7w;3qgo;3qh1;3qh5;3ssb;3t2h;3t2i;3t2j;3t73;3t74;3t87;3t8c;3t8d;3t8f;3t8g;3t8h;3tli;3tmn;3zi6;4d91;4d9w;4h57;4mtw;4mwp;4mxj;4mzn;4n4e;4n5p;4n66;4oi5;4ow3;4tli;4tln;4tmn;4tnl;5a3y;5dpe;5dpf;5fsj;5fsp;5fss;5fxn;5js3;5jss;5jt9;5jvi;5jxn;5k7t;5l3u;5l41;5l8p;5lif;5lvd;5lwd;5m5f;5m69;5m9w;5ma7;5mnr;5n2t;5n2x;5n2z;5n31;5n34;5n3v;5n3y;5o8n;5onr;5t9i;5t9k;5t9q;5tac;5tad;5tae;5tai;5taj;5tak;5tli;5tln;5tmn;5un3;5uu7;5uu8;5uu9;5uua;5uub;5uuc;5uud;5uue;6d5n;6d5o;6d5p;6d5q;6d5r;6d5s;6d5t;6d5u;6fj2;6ig7;6lzn;6lzo;6n4w;6n4z;6qar;6qf2;6qf3;6sb9;6sbk;6sc0;6sc1;6sc3;6sck;6scu;6sel;6tli;6tmn;6zhj;7akn;7tli;7tln;8tli;8tln
P00803	1b12;1kn9;1t7d;3iiq;3s04;6b88
P00805	1ho3;1ihd;1jaz;1jja;1nns;3eca;4eca;5mq5;6eok;6nx6;6nx7;6nx8;6nx9;6nxa;6nxb;6pa2;6pa3;6pa4;6pa5;6pa6;6pa8;6pa9;6paa;6pab;6pac;6uod;6uog;6uoh;6v23;6v24;6v25;6v26;6v27;6v28;6v29;6v2a;6v2b;6v2c;6v2g;6v5f;7a0u;7p9c
P00806	1aro;1lba
P00807	1alq;1blc;1blh;1blp;1dja;1djb;1djc;1ghi;1ghm;1ghp;1kge;1kgf;1kgg;1ome;1pio;3blm;6wgr
P00808	1i2s;1i2w;1mbl;1w7f;2blm;2wk0;2y91;3b3x;3ly3;3ly4;3m2j;3m2k;3sh7;3sh8;3sh9;3soi;4blm;4m3k;4n1h;4n92;4n9k;4n9l;5ghx;5ghy;5ghz;5lwf;5zfl;5zft;5zg6
P00811	1c3b;1fcm;1fcn;1fco;1fsw;1fsy;1ga9;1i5q;1iel;1iem;1kds;1kdw;1ke0;1ke3;1ke4;1kvl;1kvm;1l0d;1l0e;1l0f;1l0g;1l2s;1ll5;1ll9;1llb;1mxo;1my8;1o07;1pi4;1pi5;1xgi;1xgj;2bls;2ffy;2hdq;2hdr;2hds;2hdu;2i72;2p9v;2pu2;2pu4;2r9w;2r9x;2rcx;3bls;3bm6;3fkv;3fkw;3gqz;3gr2;3grj;3gsg;3gtc;3gv9;3gvb;3iwi;3iwo;3iwq;3ixb;3ixd;3ixg;3ixh;3o86;3o87;3o88;4e3i;4e3j;4e3k;4e3l;4e3m;4e3n;4e3o;4jxg;4jxs;4jxv;4jxw;4ken;4kg2;4kg5;4kg6;4kz3;4kz4;4kz5;4kz6;4kz7;4kz8;4kz9;4kza;4kzb;4lv0;4lv1;4lv2;4lv3;4okp;4old;4olg;5joc;6dpt;6dpx;6dpy;6dpz;6t35;6t3d;6t5y;6t7l;6tbw;6tpm;6whf;6x9y;6xfs;6xg1;6yen;6yeo;6ypd
P00813	3iar
P00816	1dw9;1dwk;2iu7;2iuo;2iv1;2ivb;2ivg;2ivq
P00817	117e;1e6a;1e9g;1huj;1huk;1m38;1pyp;1wgi;1wgj;1ypp;2ihp;2ik0;2ik1;2ik2;2ik4;2ik6;2ik7;2ik9;8prk
P00818	1aps
P00825	1fx0;1kmh;6fkf;6fkh;6fki;6vm1;6vm4;6vmb;6vmd;6vmg;6vof;6vog;6voh;6voi;6voj;6vok;6vol;6vom;6von;6voo
P00829	1bmf;1cow;1e1q;1e1r;1e79;1efr;1h8e;1h8h;1nbm;1ohh;1qo1;1w0j;1w0k;2ck3;2jdi;2jiz;2jj1;2jj2;2v7q;2w6e;2w6f;2w6g;2w6h;2w6i;2w6j;2wss;2xnd;4asu;4tsf;4tt3;4yxw;4z1m;5ara;5are;5arh;5ari;5fij;5fik;5fil;6yy0;6z1r;6z1u;6zpo;6zqm;6zqn;7ajb;7ajc;7ajd;7aje;7ajf;7ajg;7ajh;7aji;7ajj
P00830	2hld;2wpd;2xok;3fks;3oe7;3oee;3oeh;3ofn;3zia;3zry;4b2q;6b8h;6cp3;6cp6
P00833	2rq7;6fkf;6fkh;6fki;6vm1;6vm4;6vmb;6vmd;6vmg;6vof;6vog;6voh;6voi;6voj;6vok;6vol;6vom;6von;6voo
P00845	1wu0;6n2d;6n2y;6n2z;6n30
P00847	5ara;5are;5arh;5ari;5fij;5fik;5fil;6zbb;6ziq;6zit;6ziu;6zpo;6zqm;6zqn;7ajb;7ajc;7ajd;7aje;7ajf;7ajg;7ajh;7aji;7ajj
P00854	6b2z;6b8h;6cp3;6cp5;6cp6;6cp7;6wtd
P00856	6b2z;6b8h;6cp3;6cp5;6cp6;6cp7;6wtd
P00860	7odc
P00861	1knw;1ko0
P00862	1hq6;1ibt;1ibu;1ibv;1ibw;1pya
P00864	1fiy;1jqn;1qb4
P00870	1rbo;1rco;1rcx;1rxo;8ruc
P00873	1gk8;1uw9;1uwa;1uzd;1uzh;2v63;2v67;2v68;2v69;2v6a;2vdh;2vdi
P00875	1aa1;1aus;1ir1;1rbo;1rco;1rcx;1rxo;1upm;1upp;8ruc
P00876	1ej7;1rlc;1rld;3rub;4rub
P00877	1gk8;1ir2;1uw9;1uwa;1uzd;1uzh;2v63;2v67;2v68;2v69;2v6a;2vdh;2vdi;5bs2;7jfo;7jn4;7jsx
P00879	6kkm;6lrr;6lrs;6z1f;6z1g
P00880	1rbl;1rsc;2wvw;3rg6
